name,authority_id,postcode,lng,lat,closed,statutory2010,statutory2016,type,closed_year,opened_year,replacement,notes
Bostall Library,6,DA7 5RE,0.13116186081477,51.4762522246015,f,t,t,LAL,,,f,
Bexley Community Library,6,DA5 1LU,0.151441593322919,51.4438759542705,f,f,f,CRL,,,f,
Bexley Central Library,6,DA6 7HJ,0.143748996261091,51.4559955051214,f,t,t,LAL,,,f,
Sidcup Library,6,DA144AQ,0.105008260749969,51.4258429582176,f,t,t,LAL,,,f,
Slade Green Community Library,6,DA8 2EL,0.190948875017075,51.4731267264712,f,f,f,CRL,,,f,
Erith Library,6,DA8 1SL,0.181356594126471,51.4791240471022,f,t,t,LAL,,,f,
Upper Belvedere Library,6,DA175EQ,0.145832316345936,51.4838354300536,f,t,t,LAL,,,f,
Welling Library,6,DA163PA,0.106778774978798,51.4624482218915,f,t,t,LAL,,,f,
Blackfen Library,6,DA159LU,0.104274310970305,51.4502538933125,f,f,f,,,,f,
Thamesmead Library,6,SE2 9TR,0.122436993609735,51.4995581298996,f,t,t,LAL,,,f,
North Heath Library,6,DA8 1HW,0.160637522418906,51.4731407247126,f,t,t,LAL,,,f,
Crayford Library,6,DA1 4FN,0.18045254373468,51.4502014860675,f,f,t,LAL,,2012,f,
Harborne Library  ,7,B17 9QG,-1.9515816653518,52.4584124707657,f,t,t,LAL,,,f,
Tower Hill Library,7,B42 1LG,-1.92006942594493,52.5336232263978,f,t,t,LAL,,,f,
Acocks Green Library,7,B27 7XH,-1.82415702159294,52.445040690365,f,t,t,LAL,,,f,
Hall Green Library,7,B28 9AD,-1.84661721898325,52.4339602246694,f,t,t,LAL,,,f,
Perry Common Library,7,B44 0HH,-1.87927651685325,52.5342450057051,f,t,t,LAL,,,f,
Kingstanding Library,7,B44 9ST,-1.88533373526752,52.5519700402689,f,t,t,LAL,,,f,
Frankley Library,7,B45 0EU,-2.01665398919183,52.4048764321282,f,t,t,LAL,,,f,
Weoley Castle Library,7,B29 5HR,-1.96804906473435,52.4390355750773,f,t,t,LAL,,,f,
Selly Oak Library,7,B29 6AE,-1.9359141405429,52.4441019601748,f,t,t,LAL,,,f,
Stirchley Library ,7,B30 2JT,-1.92350865487468,52.4288834909179,f,t,t,LAL,,,f,
Kings Norton Library,7,B30 3EU,-1.92812816417741,52.409809487072,f,t,t,LAL,,,f,
Northfield Library,7,B31 2LB,-1.96743409886749,52.414987053675,f,t,t,LAL,,,f,
West Heath Library,7,B31 3LX,-1.96012518120773,52.4005917308842,f,f,t,LAL,,2013,f,
Quinton Library,7,B32 2TW,-1.98718131040157,52.4602735436175,f,t,t,LAL,,,f,
Birchfield Library,7,B6  6AH,-1.90174086686018,52.5090221014068,f,t,t,LAL,,,f,
Aston Library,7,B6  6EJ,-1.89132024088327,52.50458997306,f,t,t,LAL,,,f,
Bartley Green Library,7,B32 3QG,-1.99849975900856,52.4360641157878,f,t,t,LAL,,,f,
Kents Moat Library,7,B33 8NF,-1.78853556213616,52.476339578071,f,t,t,LAL,,,f,
Glebe Farm Library,7,B33 9NA,-1.79459455416258,52.4904734777107,f,t,t,LAL,,,f,
Sutton Coldfield Library,7,B72 1XX,-1.82309739816105,52.5627353063186,f,t,t,LAL,,,f,refurbished in 2013
Boldmere Library,7,B73 5TU,-1.84057599144284,52.5470638081631,f,t,t,LAL,,,f,
Bloomsbury Library,7,B7  4PT,-1.87148184676948,52.4923887737939,f,t,t,LAL,,,f,
Mere Green Library,7,B75 5BT,-1.82496110364721,52.5874600858926,f,t,t,LAL,,,f,
Walmley Library,7,B76 1NP,-1.80071344081999,52.541124130417,f,t,t,LAL,,,f,
Birmingham Central,7,B3  3HQ,-1.90488214557575,52.4802568572472,t,f,f,,2013,,f,replaced by the new Library of Birmingham
Shard End Library,7,,,,f,f,t,LAL,,2012,f,
Castle Vale Library,7,B35 7PR,-1.78416330650605,52.5214252581086,f,t,t,LAL,,,f,
Ward End Library,7,B8  2HF,-1.83534446875024,52.49479834308,f,t,t,LAL,,,f,
Druids Heath Library,7,B14 5NJ,-1.8893974716412,52.4075231797161,f,t,t,LAL,,,f,
Cocks Moors Woods Neighbourhood Library,7,B14 6ER,-1.8895349517776,52.4172415687682,f,f,f,,,,f,
Kings Heath Library,7,B14 7SW,-1.89295568465002,52.4376161429874,f,t,t,LAL,,,f,
Spring Hill Library,7,B18 7BH,-1.91992097314177,52.4853922327638,f,t,t,LAL,,,f,
Small Heath Library,7,B10 9RX,-1.85502063734994,52.4729245011409,f,t,t,LAL,,,f,
Sparkhill Library,7,B11 4EA,-1.86447003786532,52.4495527106767,f,t,t,LAL,,,f,
Balsall Heath Library,7,B12 9BX,-1.8855014797311,52.4589155039571,f,t,t,LAL,,,f,
Library of Birmingham,7,B1  2ND,-1.9075328523588,52.4800881433563,f,f,t,LAL,,2013,t,replaced the old central library
Yardley Wood Library,7,B14 4DU,-1.85916838128006,52.4186477788021,f,t,t,LAL,,,f,
Handsworth Library,7,B21 9DP,-1.92934773990765,52.5024701088441,f,t,t,LAL,,,f,
Erdington Library,7,B24 9HP,-1.83630384179565,52.5260396464982,f,t,t,LAL,,,f,
South Yardley Library,7,B25 8LT,-1.81662073324115,52.4600785422582,f,t,t,LAL,,,f,
Sheldon Library,7,B26 2RJ,-1.78304135892118,52.4618737372158,f,t,t,LAL,,,f,
Roman Road ,8,BB2 3UY,-2.47220182138177,53.7284308658255,f,t,t,LAL,,,f,
Mill Hill ,8,BB2 4DT,-2.50279516024972,53.7340767450231,f,t,t,LAL,,,f,
Darwen ,8,BB3 3BU,-2.46615152579835,53.6966813749902,f,t,t,LAL,,,f,
Blackburn ,8,BB2 1AG,-2.48502676476137,53.749681510551,f,t,t,LAL,,,f,refurbishment in 2013
Livesey ,8,BB2 5NX,-2.52594352190002,53.7292765312255,f,t,t,LAL,,,f,
Palatine ,9,FY4 1AP,-3.05530683639106,53.7983915927883,f,t,t,LAL,,,f,
Blackpool Central ,9,FY1 1PX,-3.0530842427019,53.8205675327823,f,t,t,LAL,,,f,refurbishment in 2011
Mereside ,9,FY4 4TP,-2.99762101695228,53.7993798340017,f,t,t,LAL,,,f,
Revoe ,9,FY1 5HN,-3.04487083662027,53.8085500035629,f,t,t,LAL,,,f,
Anchersholme ,9,FY5 3RS,-3.02897929513704,53.8696283240496,f,t,t,LAL,,,f,
Layton ,9,FY3 7BD,-3.03343067012898,53.8268685693542,f,t,t,LAL,,,f,
Moor Park ,9,FY2 0JG,-3.03350313155008,53.8495545088217,f,f,t,LAL,,2011,f,
Bispham,9,FY2 0HH,-3.03846268869202,53.8484870087645,f,f,f,,,,f,
Boundary ,9,FY3 7RW,-3.01766819467113,53.8290706758683,f,t,t,LAL,,,f,
Westhoughton Library,10,BL3 5AT,-2.44321345358658,53.5719122612235,f,t,t,LAL,,,f,
High Street Library,10,BL3 6SZ,-2.43910211158836,53.5671635908767,f,t,t,LAL,,,f,
Highfield neighbourhood collection,10,BL4 0RN,-2.42369033261564,53.5449549532796,f,f,f,LAL,,,f,main library closed 12-Jan-12
Farnworth Library,10,BL4 7PG,-2.39675259400773,53.5514111923764,f,t,t,LAL,,,f,
Blackrod Library,10,BL6 5LS,-2.57317692063454,53.5890580867447,f,t,t,LAL,,,f,
Bolton Central Library,10,BL1 1SE,-2.43129423245856,53.5773848253353,f,t,t,LAL,,,f,
Horwich Library,10,BL6 7AJ,-2.54920191332562,53.6018531920996,f,t,t,LAL,,,f,
Bromley Cross Library,10,BL7 9LU,-2.41356372678384,53.6129603608908,f,t,t,LAL,,,f,
Halliwell UCAN neighbourhood collection,10,BL1 3BU,-2.44946737371841,53.5877713576227,f,t,t,LAL,,,f,
Oxford Grove,10,BL1 3EJ,-2.44821058980986,53.5903467433482,t,f,f,,2012,,f,
Heaton neighbourhood collection,10,BL1 5LF,-2.46469329828244,53.5848908152688,f,f,f,LAL,,,f,main library closed 9-Mar-12
Oldhams neighbourhood collection,10,BL1 6RN,-2.43819826411564,53.6053134747265,f,f,f,LAL,,,f,
Astley Bridge,10,BL1 8NP,-2.43487532120908,53.6010831131005,t,f,f,,2012,,f,used as offices by Franking Sense - supplier of franking machines
Castle Hill,10,BL2 2JW,-2.41338322166676,53.5944899922332,t,f,f,,2012,,f,
Tonge UCAN neighbourhood collection,10,BL2 2LE,-2.41213406490518,53.5918876871594,f,f,f,LAL,,,f,
Harwood Library,10,BL2 3HN,-2.39685758081438,53.6045230095564,f,t,t,LAL,,,f,
Breightmet Library,10,BL2 6NT,-2.38427917249008,53.5823539394285,f,t,t,LAL,,,f,
Little Lever Library,10,BL3 1LP,-2.36912878014035,53.5614947673133,f,t,t,LAL,,,f,refurbishment 2016
Ensbury Park,11,BH104DZ,-1.88709834153815,50.7518994894447,f,t,t,LAL,,,f,
West Howe Library,11,BH118DU,-1.90975269468016,50.7581420606191,f,t,t,LAL,,,f,
Kinson Hub,11,BH119AW,-1.9018187889304,50.7691785900832,f,t,t,LAL,,,f,
Boscombe Library,11,BH1 1BY,-1.87728466224618,50.7209638760101,f,t,t,LAL,,,f,
Bournemouth Library,11,BH2 5RQ,-1.88472248613421,50.7206836841064,f,t,t,LAL,,,f,
Westbourne Library,11,BH4 8DX,-1.90291240190463,50.7202415809187,f,t,t,LAL,,,f,
Southbourne Library,11,BH5 2HY,-1.82081770866855,50.7287594924187,f,t,t,LAL,,,f,
Tuckton Library,11,BH6 4LF,-1.78673322761081,50.7277579830244,f,t,t,LAL,,,f,
Springbourne Library,11,BH8 8BX,-1.85265812807457,50.7319514308925,f,t,t,LAL,,,f,
Charminster Library,11,BH8 9HT,-1.8600279008834,50.7456562951193,f,t,t,LAL,,,f,
Castlepoint Library,11,BH8 9UP,-1.84434757396951,50.7513018160148,f,t,t,LAL,,,f,
Winton Library,11,BH9 2EN,-1.8783102211698,50.7461983360841,f,t,t,LAL,,,f,
Sandhurst,12,GU479BL,-0.796596261096863,51.3456963757713,f,t,t,LAL,,,f,
Bracknell Central,12,RG121BH,-0.747933802790128,51.4179146971169,f,t,t,LAL,,,f,refurbished in 2012
Great Hollands,12,RG128UX,-0.770821161340714,51.3994174558101,f,t,t,LAL,,,f,
Whitegrove,12,RG423JP,-0.731380451361691,51.4262522202523,f,t,t,LAL,,,f,
Binfield,12,RG424JZ,-0.791168446551632,51.4308044583451,f,t,t,LAL,,,f,refurbished in 2013
Crowthorne,12,RG457AT,-0.793642098207765,51.3685239669818,f,t,t,LAL,,,f,refurbished in 2013
Harmans Water,12,RG129LP,-0.73230937889985,51.4061919471079,f,t,t,LAL,,,f,
Ascot Heath,12,SL5 8LA,-0.690579422433213,51.4210198042725,f,t,t,LAL,,,f,
Birch Hill,12,RG127WW,-0.752007367363172,51.3908380152344,f,t,t,LAL,,,f,
Clayton ,13,BD146AY,-1.81975742135049,53.7832990432748,f,t,t,LAL,,,f,
Allerton ,13,BD157PA,-1.82034984578303,53.8009613060148,f,t,t,LAL,,,f,
Keighley ,13,,,,f,t,t,LAL,,,f,
Haworth   ,13,BD228EL,-1.95921265868652,53.8320610099434,f,f,f,CRL,,,f,Methodist Chapels initiative in 2016 - set up libraries in Haworth Oxenhope and Lees
Lees,13,BD229DL,-1.93494276374662,53.835250051297,f,f,f,CRL,,,f,Methodist Chapels initiative in 2016 - set up libraries in Haworth Oxenhope and Lees
Oxenhope,13,BD229LJ,-1.95247436504524,53.8115570992611,f,f,f,CRL,,,f,Methodist Chapels initiative in 2016 - set up libraries in Haworth Oxenhope and Lees
Addingham ,13,LS290NS,-1.88466522677088,53.9447379629269,f,f,f,CRL,,,f,Management of the library was transferred to the community in November 2011 and volunteers provide the service with support from Bradford Libraries.
Eccleshill ,13,BD2 4SR,-1.7306677946438,53.8170528769196,f,t,t,LAL,,,f,
St Augustine's ,13,BD3 0DN,-1.74155719107706,53.8023724971576,f,t,t,LAL,,,f,
Thornbury ,13,BD3 8JX,-1.7155044478241,53.7998329034238,f,t,t,LAL,,,f,
Laisterdyke ,13,BD3 8RP,-1.72067949067232,53.793301799754,f,t,t,LAL,,,f,
Bolling Hall ,13,BD4 7LP,-1.73902486745908,53.7798071558538,f,t,t,LAL,,,f,refurbished in 2013
Holme Wood ,13,BD4 9DY,-1.71062156202109,53.7769018220813,f,t,t,LAL,,,f,
Wibsey ,13,BD6 1TR,-1.7771413994934,53.766168264212,f,t,t,LAL,,,f,
Great Horton ,13,BD7 3PE,-1.78557605201743,53.7781017327334,f,t,t,LAL,,,f,
Manningham ,13,BD8 8BB,-1.77186042094491,53.805696531265,f,t,t,LAL,,,f,
Girlington ,13,BD8 9LT,-1.78587388869278,53.8001048571435,t,f,f,,2015,,f,
Heaton,13,BD9 4AX,-1.78504335684358,53.8170546622374,t,f,f,,2015,,f,was in St Barnabas Village Hall
Haworth Road ,13,BD9 6LP,-1.81261799916635,53.8154470624562,f,t,t,LAL,,,f,
Menston ,13,LS296LG,-1.73922504938439,53.8895232255741,f,t,t,LAL,,,f,
Ilkley ,13,LS298HA,-1.82193797347814,53.9243311830812,f,t,t,LAL,,,f,
Idle ,13,BD109PY,-1.72892863818637,53.8347282477799,f,t,t,LAL,,,f,
Burley ,13,LS297HD,-1.74775825412178,53.9126850904362,f,t,t,LAL,,,f,
Bradford Local Studies ,13,BD1 1NN,-1.75512453562562,53.7904648944558,f,t,t,LAL,,,f,
Bradford City Library ,13,BD1 1SD,-1.75509424349874,53.7930623615068,f,t,t,LAL,,,f,refurbished in 2013
Wyke ,13,BD128AL,-1.77138375959809,53.7424919206534,f,t,t,LAL,,,f,
Queensbury ,13,BD131AB,-1.84239462657148,53.7687074094177,f,t,t,LAL,,,f,
Thornton ,13,BD133HW,-1.84612179652678,53.7908406795974,f,t,t,LAL,,,f,
Denholme ,13,BD134BL,-1.89421076587928,53.8024421672199,f,t,t,LAL,,,f,
Wilsden ,13,BD150HT,-1.86188194074401,53.8219851029985,f,f,f,CRL,,,f,Management of the library was transferred to the community in March 2012 and volunteers provide the service with support from Bradford Libraries
Bingley ,13,,,,f,t,t,LAL,,,f,
Baildon ,13,BD176ND,-1.76406221779232,53.8532276148385,f,t,t,LAL,,,f,
Wrose ,13,BD181HX,-1.75591814348761,53.8289799271528,f,f,f,CRL,,,f,Management of the library was transferred to the community in November 2011 and volunteers provide the service with support from Bradford Libraries
Shipley ,13,BD183QH,-1.77880897634019,53.832826155533,f,t,t,LAL,,,f,refurbished in 2015
Silsden,13,BD200AJ,-1.93780702056371,53.9124930794659,f,t,t,LAL,,,f,
Wembley - High Road,14,HA9 6AH,-0.291906255158925,51.5537953724985,f,f,f,,,,f,"Was Barham Volunteer Library, ? moved back to original Barham Park site in 2016"
Wembley,14,HA9 0FJ,-0.281683465001315,51.5590414842895,f,f,t,LAL,,2013,f,
Cricklewood,14,NW2 6UY,-0.227489863556278,51.5570303765641,t,f,f,,2011,,f,Volunteer led - new building going up 2016. Run by Cricklewood Library Ltd
Kingsbury,14,NW9 9HE,-0.276450791718706,51.5860224913622,f,t,t,LAL,,,f,
Neasden,14,NW101QJ,-0.251488980724442,51.5598004010796,t,f,f,,2011,,f,
Kilburn,14,NW6 6NN,-0.205516278762117,51.5354833332553,f,t,t,LAL,,,f,refurbished in 2012
Barham Park,14,HA0 2HB,-0.311224635372571,51.5521326761337,f,f,f,ICL,,,f,"Volunteers have run a library since March 2012 at various sites, in 2016 will return to old library site in Barham Park on 15 yr lease"
Sudbury Town,14,HA0 2LA,-0.315019656101054,51.5517016534958,f,f,f,CRL,,,f,Oct 2015 Barham Library Volunteers set up another library at Sudbury Town Underground station HA0 2LA
Preston,14,,,,f,f,f,ICL,,,f,"April 2015, opened as community library and hub with books, papers and classes. "
Tokyngton,14,HA9 6JE,-0.271809310691781,51.5481776446978,t,f,f,,2011,,f,
Willesden Green,14,NW102SF,-0.228946204140483,51.5466482142072,f,f,t,LAL,,2014,f,
Harlesden,14,NW108SE,-0.249941621983541,51.538096813536,f,t,t,LAL,,,f,
Ealing Road,14,HA0 4BA,-0.297488700101334,51.5491555579088,f,t,t,LAL,,,f,refurbished in 2012
Kensal Rise,14,NW105JA,-0.22728216313596,51.5337999610167,t,f,f,,2011,,f,may re-open in 2016 as new community library
Hollingbury Library,15,BN1 8DA,-0.129880842050772,50.8605407577786,f,t,t,LAL,,,f,
Portslade Library,15,BN411XR,-0.210214560256248,50.8381029963278,f,t,t,LAL,,,f,
Hangleton Library,15,BN3 8LD,-0.195389679328699,50.8450243884541,f,t,t,LAL,,,f,
Hove Library,15,BN3 2EG,-0.177117624066438,50.8283723656715,f,t,t,LAL,,,f,
Saltdean Library,15,BN2 8SP,-0.0419804948904214,50.8017920028729,f,t,t,LAL,,,f,
Jubilee Library,15,BN1 1GE,-0.138904561650989,50.8248281863543,f,t,t,LAL,,,f,
Moulsecoomb Library,15,BN2 4PA,-0.110704712281144,50.8494667090232,f,t,t,LAL,,,f,
Woodingdean Library,15,BN2 6BA,-0.0797375761157747,50.835902627909,f,f,t,LAL,,2013,f,
Rottingdean Library,15,BN2 7HA,-0.0586684490767827,50.8062889334534,f,t,t,LAL,,,f,
Westdene Library,15,BN1 5GN,-0.161758734144511,50.8600400070672,f,t,t,LAL,,,f,
Coldean Library,15,BN1 9ED,-0.113048271645532,50.8639121297443,f,t,t,LAL,,,f,
Patcham Library,15,BN1 8TA,-0.144720356637767,50.8640062598099,f,t,t,LAL,,,f,
Whitehawk Library,15,BN2 5FL,-0.107386427552858,50.8254453165834,f,t,t,LAL,,,f,
Mile Oak Library,15,BN412WS,-0.225773877935092,50.8506435265517,f,t,t,LAL,,,f,
Lawrence Weston ,16,BS110QE,-2.65866705126177,51.5013700328845,f,t,t,LAL,,,f,
Avonmouth ,16,BS119EN,-2.69867476899745,51.500428121728,f,t,t,LAL,,,f,
Shirehampton ,16,BS119TU,-2.67592027480108,51.4873258496846,f,t,t,LAL,,,f,
Hartcliffe ,16,BS130BE,-2.59823546563806,51.4048898984435,f,t,t,LAL,,,f,
Bishopsworth,16,BS137LN,-2.6165047435094,51.4206835418926,f,t,t,LAL,,,f,
Sea Mills ,16,BS9 2NA,-2.64821466683563,51.4917083676679,f,t,t,LAL,,,f,
Westbury ,16,BS9 3JZ,-2.62207258453787,51.4917600771268,f,t,t,LAL,,,f,
Henleaze ,16,BS9 4HP,-2.61234336059059,51.4815878492481,f,t,t,LAL,,,f,
Whitchurch ,16,BS140SX,-2.57152388775883,51.4140958824262,f,t,t,LAL,,,f,
Stockwood ,16,BS148PL,-2.54728949189724,51.4124492247247,f,t,t,LAL,,,f,
Bristol Central ,16,BS1 5TL,-2.60241333761061,51.4514723926919,f,t,t,LAL,,,f,
Fishponds ,16,BS163HL,-2.53309355389769,51.477560169109,f,t,t,LAL,,,f,
Hillfields ,16,BS164HL,-2.51713800128643,51.4749071987025,f,t,t,LAL,,,f,
Trinity Road,16,BS2 0NW,-2.57639833172892,51.4586436765744,t,f,f,,2013,,f,"originally St Philips Public Library, now serviced offices"
St Pauls ,16,BS2 8AL,-2.59287584582131,51.4606475420453,f,t,t,LAL,,,f,
Bedminster,16,BS3 4AQ,-2.59341339499164,51.4443879285777,f,t,t,LAL,,,f,
Marksbury Road ,16,BS3 5LG,-2.60214910721704,51.4335803415084,f,t,t,LAL,,,f,
Filwood ,16,BS4 1JN,-2.58599670097903,51.4247784525376,f,t,t,LAL,,,f,
Knowle ,16,BS4 2QU,-2.56800860031939,51.4344251797417,f,t,t,LAL,,,f,
Wick Road ,16,BS4 4HE,-2.5516441417186,51.4385406145146,f,t,t,LAL,,,f,
Junction 3 ,16,BS5 0JF,-2.56804956340568,51.4643851262921,f,f,t,LAL,,2013,f,
Eastville ,16,BS5 6XP,-2.56766342018195,51.4761839869837,t,f,f,,2016,,f,Question - has this one reopened as a community library?
St George ,16,BS5 8AL,-2.54515397393498,51.4601419143124,f,t,t,LAL,,,f,
Cheltenham Road ,16,BS6 5QX,-2.59265858452281,51.4683184976973,f,t,t,LAL,,,f,
Horfield ,16,BS7 0BD,-2.57377525998437,51.4950725282437,f,t,t,LAL,,,f,
Redland ,16,BS8 2PY,-2.61077415072016,51.4654560800039,f,t,t,LAL,,,f,
Clifton ,16,BS8 4BX,-2.62042697734264,51.454363645417,f,t,t,LAL,,,f,
Henbury ,16,BS107DR,-2.62046900462859,51.5094370316529,f,t,t,LAL,,,f,
Southmead ,16,BS106AS,-2.60288062296436,51.5032976292958,f,t,t,LAL,,,f,
Chislehurst Library,17,BR7 6DA,0.0626952660859678,51.421217602716,f,t,t,LAL,,,f,
Bromley Central Library,17,BR1 1EX,0.0144483689100075,51.4037654582704,f,t,t,LAL,,,f,
Burnt Ash Library,17,BR1 5AF,0.0210817750017567,51.4205127996274,f,t,t,LAL,,,f,
Biggin Hill Memorial Library and Pool,17,TN163LB,0.0362847981706707,51.3123526000595,f,t,t,LAL,,,f,
Shortlands Library,17,BR2 0JP,-0.00584497254031138,51.4003176064473,f,t,t,LAL,,,f,
Hayes Library,17,BR2 7LH,0.017317515544532,51.378131409023,f,t,t,LAL,,,f,
Southborough Library,17,BR2 8AP,0.0451607673715653,51.3902566947864,f,t,t,LAL,,,f,
Beckenham Library,17,BR3 4PE,-0.036959620117701,51.4086307485705,f,t,t,LAL,,,f,
West Wickham Library,17,BR4 0SH,-0.00995891729931692,51.3750907122158,f,t,t,LAL,,,f,
Petts Wood Library,17,BR5 1BP,0.0692301747307869,51.389474348288,f,t,t,LAL,,,f,
